sample	probe
TCGA.76.6192.01A	409797
TCGA.28.2510.01A	411944
TCGA.76.4931.01A	404077
TCGA.06.0190.02A	418817
TCGA.76.6656.01A	419617
TCGA.06.0190.01A	418820
TCGA.06.6388.01A	419403
TCGA.4W.AA9S.01A	405128
TCGA.19.5958.01A	412762
TCGA.06.5410.01A	415303
TCGA.28.5220.01A	415008
TCGA.74.6573.01A	419936
TCGA.06.6699.01A	420005
TCGA.19.5960.01A	413137
TCGA.14.0781.01B	409445
TCGA.76.6285.01A	403613
TCGA.19.0957.02A	418900
TCGA.81.5910.01A	409183
TCGA.76.6193.01A	413421
TCGA.06.6697.01A	420090
TCGA.28.2501.01A	403455
TCGA.06.6698.01A	419962
TCGA.76.4929.01A	404057
TCGA.76.6282.01A	413915
TCGA.28.5218.01A	407890
TCGA.28.5211.01C	420472
TCGA.32.1980.01A	411575
TCGA.06.5858.01A	415721
TCGA.76.4934.01A	402041
TCGA.06.6693.01A	418711
TCGA.06.6389.01A	414595
TCGA.28.5207.01A	401775
TCGA.19.5950.01A	415167
TCGA.06.0152.02A	418009
TCGA.12.5299.01A	402102
TCGA.26.A7UX.01B	409123
TCGA.06.5418.01A	414831
TCGA.74.6575.01A	420022
TCGA.26.5135.01A	404778
TCGA.28.5213.01A	405048
TCGA.06.5415.01A	405478
TCGA.06.5414.01A	411549
TCGA.06.5417.01A	409411
TCGA.19.5956.01A	415260
TCGA.06.A5U1.01A	400100
TCGA.76.4935.01A	401731
TCGA.06.5413.01A	405974
TCGA.76.6664.01A	419158
TCGA.76.6663.01A	420317
TCGA.74.6577.01A	420353
TCGA.76.4927.01A	403778
TCGA.19.4065.02A	416427
TCGA.19.4065.01A	419711
TCGA.06.1806.01A	420103
TCGA.19.0957.01C	418399
TCGA.41.6646.01A	420405
TCGA.19.5955.01A	406080
TCGA.06.5408.01A	416285
TCGA.28.5216.01A	403262
TCGA.14.1402.01A	418454
TCGA.14.1402.02A	418352
TCGA.14.0736.01A	418357
TCGA.28.5214.01A	407547
TCGA.76.4932.01A	401523
TCGA.26.5139.01A	401092
TCGA.76.4928.01B	406409
TCGA.32.5222.01A	407260
TCGA.4W.AA9R.01A	390298
TCGA.06.0650.01A	413143
TCGA.76.6660.01A	419991
TCGA.RR.A6KC.01A	399674
TCGA.06.A5U0.01A	397006
TCGA.28.5219.01A	399282
TCGA.76.6280.01A	420487
TCGA.14.0740.01B	419005
TCGA.14.1395.01B	420410
TCGA.06.6694.01A	420020
TCGA.06.A6S0.01A	396309
TCGA.28.6450.01A	414661
TCGA.76.4926.01B	409511
TCGA.76.6191.01A	414743
TCGA.74.6573.11A	420509
TCGA.76.6662.01A	420501
TCGA.26.5133.01A	407870
TCGA.14.1043.01B	420147
TCGA.19.A6J4.01A	409525
TCGA.41.5651.01A	412525
TCGA.12.5295.01A	413426
TCGA.14.0736.02A	418169
TCGA.28.5215.01A	410639
TCGA.06.5412.01A	417755
TCGA.19.5952.01A	408029
TCGA.87.5896.01A	413789
TCGA.06.0211.01A	418349
TCGA.06.0211.02A	418086
TCGA.06.6391.01A	410818
TCGA.06.0125.02A	419303
TCGA.74.6584.01A	419176
TCGA.26.5136.01B	407662
TCGA.06.5859.01A	410117
TCGA.06.0210.02A	417319
TCGA.14.0862.01B	420241
TCGA.06.5416.01A	405324
TCGA.06.5411.01A	412159
TCGA.28.5208.01A	411058
TCGA.74.6578.01A	420164
TCGA.28.5204.01A	405337
TCGA.19.1389.02A	419363
TCGA.19.1389.01A	418919
TCGA.06.0210.01A	417657
TCGA.76.6657.01A	419686
TCGA.19.5951.01A	380188
TCGA.19.A60I.01A	403869
TCGA.06.A6S1.01A	387609
TCGA.76.6283.01A	419850
TCGA.06.5856.01A	415565
TCGA.14.1450.01B	419255
TCGA.06.0152.01A	417382
TCGA.06.AABW.11A	413549
TCGA.74.6581.01A	420195
TCGA.06.6390.01A	416366
TCGA.19.5959.01A	413701
TCGA.06.A7TK.01A	394610
TCGA.06.0125.01A	418574
TCGA.06.6700.01A	419558
TCGA.15.1444.01A	411020
TCGA.26.6174.01A	420038
TCGA.26.1442.01A	408470
TCGA.RR.A6KA.01A	392882
TCGA.26.5132.01A	407208
TCGA.19.5953.01B	420659
TCGA.26.6173.01A	420358
TCGA.19.5947.01A	417204
TCGA.14.1034.02B	418073
TCGA.06.0171.01A	418656
TCGA.06.1804.01A	406417
TCGA.76.6286.01A	419784
TCGA.RR.A6KB.01A	404202
TCGA.06.6695.01A	420072
TCGA.32.1979.01A	399294
TCGA.26.5134.01A	407958
TCGA.19.A6J5.01A	392616
TCGA.4W.AA9T.01A	402202
TCGA.06.0171.02A	420188
TCGA.OX.A56R.01A	397935
TCGA.06.0221.02A	419049
TCGA.19.5954.01A	409593
TCGA.81.5911.01A	420597
TCGA.06.A7TL.01A	399097
TCGA.28.5209.01A	412302
TCGA.06.0221.01A	418722
TCGA.06.6701.01A	420471
TCGA.76.6661.01B	420072
TCGA.12.5301.01A	413578
TCGA.76.4925.01A	409282
